filename,fertile_kg/m3,fertile_mt,tbr,Pu239_kg/yr
tallies_ARCBall_294K_Li07.5_U000.00kgm3,0.0,0.0,1.1703891144987262,0.0
tallies_ARCBall_294K_Li07.5_U000.03kgm3,0.03,0.0096,1.170416050876803,0.2011286305301474
tallies_ARCBall_294K_Li07.5_U000.30kgm3,0.3,0.096,1.1699231040918932,1.9961967119785655
tallies_ARCBall_294K_Li07.5_U000.60kgm3,0.6,0.192,1.1693404589023702,3.955844232381993
tallies_ARCBall_294K_Li07.5_U001.50kgm3,1.5,0.48,1.167981612547783,9.66646725352946
tallies_ARCBall_294K_Li07.5_U003.00kgm3,3.0,0.96,1.166496553736149,18.68874981061773
tallies_ARCBall_294K_Li07.5_U007.50kgm3,7.5,2.4,1.1624203316954351,42.95838489617189
tallies_ARCBall_294K_Li07.5_U015.00kgm3,15.0,4.8,1.156274730005936,77.32242360806865
tallies_ARCBall_294K_Li07.5_U030.00kgm3,30.0,9.6,1.1457914886645573,133.69158311339123
tallies_ARCBall_294K_Li07.5_U045.00kgm3,45.0,14.4,1.1373360461072073,181.0613598123695
tallies_ARCBall_294K_Li07.5_U060.00kgm3,60.0,19.2,1.1309864123868485,223.9036733189436
tallies_ARCBall_294K_Li07.5_U075.00kgm3,75.0,24.0,1.124193596326749,263.3515714903124
tallies_ARCBall_294K_Li07.5_U090.00kgm3,90.0,28.8,1.118051774966018,300.3981594043344
tallies_ARCBall_294K_Li07.5_U105.00kgm3,105.0,33.6,1.112520849958361,335.09054123028176
tallies_ARCBall_294K_Li07.5_U120.00kgm3,120.0,38.4,1.106986969799594,368.003362882755
tallies_ARCBall_294K_Li07.5_U135.00kgm3,135.0,43.2,1.1018499400728847,399.7071346173847
tallies_ARCBall_294K_Li07.5_U150.00kgm3,150.0,48.0,1.097088814684852,430.0802453134104
