fertile_kg/m3,tbr
0.1,1.3791457833103922
0.5,1.3790216990158117
1.5,1.3789038290940405
15.0,1.3756555800344363
30.0,1.3743614450978061
60.0,1.3686898775813263
90.0,1.3632609746777964
120.0,1.357778682625423
150.0,1.3511119571939882
250.0,1.3364306422383867
500.0,1.3004170665653323
750.0,1.2678988463556944
999.99,1.2406349638113559
