filename,fertile_kg/m3,energy mid [eV],mean,energy low [eV],energy high [eV]
prism_B_U238_000.10kgm3,0.1,55000.0,2.2399967436865823e-06,10000.0,100000.0
prism_B_U238_000.10kgm3,0.1,550000.0,8.386684902070799e-07,100000.0,1000000.0
prism_B_U238_000.10kgm3,0.1,5500000.0,1.5929577396816308e-07,1000000.0,10000000.0
prism_B_U238_000.10kgm3,0.1,55000000.0,1.3248263291295868e-09,10000000.0,100000000.0
prism_B_U238_090.00kgm3,90.0,0.005,0.0,0.0,0.01
prism_B_U238_090.00kgm3,90.0,0.055,0.0,0.01,0.1
prism_B_U238_090.00kgm3,90.0,0.55,2.426214030536549e-09,0.1,1.0
prism_B_U238_090.00kgm3,90.0,5.5,0.00019597549601585218,1.0,10.0
prism_B_U238_090.00kgm3,90.0,55.0,0.0038190985608044003,10.0,100.0
prism_B_U238_090.00kgm3,90.0,550.0,0.0076957071436788,100.0,1000.0
prism_B_U238_090.00kgm3,90.0,5500.0,0.0041213443200041,1000.0,10000.0
prism_B_U238_090.00kgm3,90.0,55000.0,0.0019628377228661,10000.0,100000.0
prism_B_U238_090.00kgm3,90.0,550000.0,0.0007117686553308,100000.0,1000000.0
prism_B_U238_090.00kgm3,90.0,5500000.0,0.00013353885655201925,1000000.0,10000000.0
prism_B_U238_090.00kgm3,90.0,55000000.0,1.1464861598048662e-06,10000000.0,100000000.0
prism_B_U238_030.00kgm3,30.0,0.005,0.0,0.0,0.01
prism_B_U238_030.00kgm3,30.0,0.055,0.0,0.01,0.1
prism_B_U238_030.00kgm3,30.0,0.55,0.0,0.1,1.0
prism_B_U238_030.00kgm3,30.0,5.5,5.629211351723885e-05,1.0,10.0
prism_B_U238_030.00kgm3,30.0,55.0,0.0013890762399547,10.0,100.0
prism_B_U238_030.00kgm3,30.0,550.0,0.0026712341168582997,100.0,1000.0
prism_B_U238_030.00kgm3,30.0,5500.0,0.0013818324489492,1000.0,10000.0
prism_B_U238_030.00kgm3,30.0,55000.0,0.0006516409925393001,10000.0,100000.0
prism_B_U238_030.00kgm3,30.0,550000.0,0.00023476759772923618,100000.0,1000000.0
prism_B_U238_030.00kgm3,30.0,5500000.0,4.4227148676059896e-05,1000000.0,10000000.0
prism_B_U238_030.00kgm3,30.0,55000000.0,3.790438739597373e-07,10000000.0,100000000.0
prism_B_U238_500.00kgm3,500.0,0.005,0.0,0.0,0.01
prism_B_U238_500.00kgm3,500.0,0.055,0.0,0.01,0.1
prism_B_U238_500.00kgm3,500.0,0.55,6.9600390725853105e-09,0.1,1.0
prism_B_U238_500.00kgm3,500.0,5.5,0.0007126254852814001,1.0,10.0
prism_B_U238_500.00kgm3,500.0,55.0,0.014714999646281899,10.0,100.0
prism_B_U238_500.00kgm3,500.0,550.0,0.035598301671640895,100.0,1000.0
prism_B_U238_500.00kgm3,500.0,5500.0,0.022604996622045598,1000.0,10000.0
prism_B_U238_500.00kgm3,500.0,55000.0,0.011243634036335201,10000.0,100000.0
prism_B_U238_500.00kgm3,500.0,550000.0,0.0040227807977655,100000.0,1000000.0
prism_B_U238_500.00kgm3,500.0,5500000.0,0.0007400504627833999,1000000.0,10000000.0
prism_B_U238_500.00kgm3,500.0,55000000.0,6.194341230888139e-06,10000000.0,100000000.0
prism_B_U238_750.00kgm3,750.0,0.005,0.0,0.0,0.01
prism_B_U238_750.00kgm3,750.0,0.055,0.0,0.01,0.1
prism_B_U238_750.00kgm3,750.0,0.55,1.0460754177559385e-08,0.1,1.0
prism_B_U238_750.00kgm3,750.0,5.5,0.0008206662315037,1.0,10.0
