filename,fertile_kg/m3,fertile_mt,tbr,Pu239_kg/yr
tallies_LL_900K_Li90.0_U000.00kgm3,0.0,0.0,1.4044050513506583,0.0
tallies_LL_900K_Li90.0_U000.03kgm3,0.03,0.012818999999999999,1.404432895275121,0.0008379316952109
tallies_LL_900K_Li90.0_U000.30kgm3,0.3,0.12819,1.4044471874380564,0.0083794172617268
tallies_LL_900K_Li90.0_U000.60kgm3,0.6,0.25638,1.4043732589187143,0.0167575876015269
tallies_LL_900K_Li90.0_U001.50kgm3,1.5,0.64095,1.4042801040972397,0.0418918003789322
tallies_LL_900K_Li90.0_U003.00kgm3,3.0,1.2819,1.4044530515420188,0.0837861969717104
tallies_LL_900K_Li90.0_U007.50kgm3,7.5,3.20475,1.4043406680769672,0.2094162617478832
tallies_LL_900K_Li90.0_U015.00kgm3,15.0,6.4095,1.404375063223145,0.4188700532711416
tallies_LL_900K_Li90.0_U030.00kgm3,30.0,12.819,1.404672856328587,0.837797810327579
tallies_LL_900K_Li90.0_U045.00kgm3,45.0,19.2285,1.4050835645844757,1.256937119413451
tallies_LL_900K_Li90.0_U060.00kgm3,60.0,25.638,1.4069034199271826,1.67812192657072
tallies_LL_900K_Li90.0_U075.00kgm3,75.0,32.0475,1.4067421652367813,2.0966442661065283
tallies_LL_900K_Li90.0_U090.00kgm3,90.0,38.457,1.4067092946834625,2.515469233843412
tallies_LL_900K_Li90.0_U105.00kgm3,105.0,44.8665,1.407241921196302,2.936000702664039
tallies_LL_900K_Li90.0_U120.00kgm3,120.0,51.276,1.406910005284678,3.353502221176583
tallies_LL_900K_Li90.0_U135.00kgm3,135.0,57.6855,1.4070059331708016,3.773596117478632
tallies_LL_900K_Li90.0_U150.00kgm3,150.0,64.095,1.4069394095661651,4.193232101252616
