filename,br_vol_m3,fertile_kg/m3,fertile_mt,energy mid [eV],mean
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.000236606575534,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0002421137883578,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0002477491860938,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0002535157523511,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0002594165401852,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0002654546737138,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.000271633349771,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0002779558395998,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0002844254905841,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0002910457280209,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0002978200569341,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0003047520639294,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.000311845419094,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0003191038779395,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0003265312833898,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0003341315678164,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0003419087551197,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0003498669628598,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0003580104044364,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.0003663433913194,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.000374870335332,0.0
tallies_ARC_900K_Li07.5_Th000.00kgm3,291.1,0.0,0.0,0.000383595750986,0.0
