filename,fertile_kg/m3,fertile_mt,br_vol_m3,energy mid [eV],mean,energy low [eV],energy high [eV]
tallies_HCPB_900K_Li60.0_U000.00kgm3,0.0,0.0,520.6,2.263445592873859e-05,0.0,2.2374068497259147e-05,2.2894843360218038e-05
tallies_HCPB_900K_Li60.0_U000.00kgm3,0.0,0.0,520.6,2.3161291523520192e-05,0.0,2.2894843360218038e-05,2.3427739686822347e-05
tallies_HCPB_900K_Li60.0_U000.00kgm3,0.0,0.0,520.6,2.370038965046968e-05,0.0,2.3427739686822347e-05,2.3973039614117016e-05
tallies_HCPB_900K_Li60.0_U000.00kgm3,0.0,0.0,520.6,2.4252035730117986e-05,0.0,2.3973039614117016e-05,2.453103184611895e-05
tallies_HCPB_900K_Li60.0_U000.00kgm3,0.0,0.0,520.6,2.481652182639383e-05,0.0,2.453103184611895e-05,2.510201180666871e-05
tallies_HCPB_900K_Li60.0_U000.00kgm3,0.0,0.0,520.6,2.539414680125433e-05,0.0,2.510201180666871e-05,2.5686281795839956e-05
tallies_HCPB_900K_Li60.0_U000.00kgm3,0.0,0.0,520.6,2.598521647291468e-05,0.0,2.5686281795839956e-05,2.6284151149989404e-05
tallies_HCPB_900K_Li60.0_U000.00kgm3,0.0,0.0,520.6,2.659004377776077e-05,0.0,2.6284151149989404e-05,2.689593640553214e-05
tallies_HCPB_900K_Li60.0_U000.00kgm3,0.0,0.0,520.6,2.720894893603051e-05,0.0,2.689593640553214e-05,2.7521961466528883e-05
tallies_HCPB_900K_Li60.0_U000.00kgm3,0.0,0.0,520.6,2.7842259621351444e-05,0.0,2.7521961466528883e-05,2.8162557776174e-05
tallies_HCPB_900K_Li60.0_U000.00kgm3,0.0,0.0,520.6,2.8490311134224535e-05,0.0,2.8162557776174e-05,2.881806449227507e-05
tallies_HCPB_900K_Li60.0_U000.00kgm3,0.0,0.0,520.6,2.915344657954595e-05,0.0,2.881806449227507e-05,2.9488828666816836e-05
tallies_HCPB_900K_Li60.0_U000.00kgm3,0.0,0.0,520.6,2.9832017048260757e-05,0.0,2.9488828666816836e-05,3.017520542970468e-05
tallies_HCPB_900K_Li60.0_U000.00kgm3,0.0,0.0,520.6,3.052638180324478e-05,0.0,3.017520542970468e-05,3.0877558176784886e-05
tallies_HCPB_900K_Li60.0_U000.00kgm3,0.0,0.0,520.6,3.123690846951305e-05,0.0,3.0877558176784886e-05,3.1596258762241215e-05
tallies_HCPB_900K_Li60.0_U000.00kgm3,0.0,0.0,520.6,3.196397322885545e-05,0.0,3.1596258762241215e-05,3.2331687695469675e-05
tallies_HCPB_900K_Li60.0_U000.00kgm3,0.0,0.0,520.6,3.270796101900268e-05,0.0,3.2331687695469675e-05,3.308423434253569e-05
