filename,fertile_kg/m3,fertile_mt,"Li6(n,t)","Li7(n,Xt)","Th232(n,g)",tbr,Pu239_kg/yr
tallies_LL_900K_Li90.0_Th000.00kgm3,0.0,0.0,1.4018738897527885,0.0019518621219287,0.0,1.403825751874717,
tallies_LL_900K_Li90.0_Th000.03kgm3,0.03,0.012818999999999999,1.4018965536233126,0.0019518368294349,7.300323082357194e-06,1.4038483904527477,
tallies_LL_900K_Li90.0_Th000.30kgm3,0.3,0.12819,1.402029593195792,0.0019516703366887,7.300806282737029e-05,1.4039812635324809,
tallies_LL_900K_Li90.0_Th000.60kgm3,0.6,0.25638,1.4014820975644546,0.0019516211335782,0.0001459432520785,1.403433718698033,
tallies_LL_900K_Li90.0_Th001.50kgm3,1.5,0.64095,1.4016813099167154,0.0019511851333722,0.0003650528862431,1.4036324950500876,
tallies_LL_900K_Li90.0_Th003.00kgm3,3.0,1.2819,1.4019389041733012,0.0019504928085103,0.0007301277281013,1.4038893969818114,
tallies_LL_900K_Li90.0_Th007.50kgm3,7.5,3.20475,1.4023352757500795,0.0019485905129954,0.0018272862956312,1.404283866263075,
tallies_LL_900K_Li90.0_Th015.00kgm3,15.0,6.4095,1.4011392848155362,0.0019450880262586,0.0036531299741226,1.4030843728417948,
tallies_LL_900K_Li90.0_Th030.00kgm3,30.0,12.819,1.397656219611899,0.0019379627971639,0.0072909601737536,1.3995941824090623,
tallies_LL_900K_Li90.0_Th045.00kgm3,45.0,19.2285,1.395891643629798,0.001931981778573,0.0109317212095285,1.3978236254083711,
tallies_LL_900K_Li90.0_Th060.00kgm3,60.0,25.638,1.395676935666587,0.0019248332293696,0.0145936709769804,1.3976017688959566,
tallies_LL_900K_Li90.0_Th075.00kgm3,75.0,32.0475,1.3917631004051596,0.001918351066898,0.0181991203672377,1.3936814514720577,
tallies_LL_900K_Li90.0_Th090.00kgm3,90.0,38.457,1.389318706952219,0.0019112415575243,0.0218281160543525,1.3912299485097432,
tallies_LL_900K_Li90.0_Th105.00kgm3,105.0,44.8665,1.3876114013340028,0.0019050650651356,0.0254514118712589,1.3895164663991386,
tallies_LL_900K_Li90.0_Th120.00kgm3,120.0,51.276,1.3860733873502622,0.0018985590265863,0.0291063306165832,1.3879719463768485,
tallies_LL_900K_Li90.0_Th135.00kgm3,135.0,57.6855,1.382493344673761,0.0018917362144127,0.032689786809923,1.384385080888174,
tallies_LL_900K_Li90.0_Th150.00kgm3,150.0,64.095,1.3798998833438645,0.0018844750736752,0.0362617591692998,1.38178435841754,
